Output of simple 2-box model under RCP3PD radiative forcing,
Low  response ECS=1.5; TCR=1.0K; Aerosol scaled by:     0.500000,
Low AR4 vals  ECS=2.0; TCR=1.0K; Aerosol scaled by:     0.500000,
High response ECS=4.5; TCR=2.5K; Aerosol scaled by:      1.50000,
High AR4 vals ECS=4.5; TCR=3.0K; Aerosol scaled by:      1.50000,
Year,Observations,Total forcing,Aerosol forcing,Cumulative CO2,Low response,Low - AR4,High response,High - AR4
1827.00,999.000,0.385377,-0.0295004,10.9317,-0.0107982,-0.00938424,-0.0481054,-0.0601382
1828.00,999.000,0.395600,-0.0292650,11.2860,0.00395931,0.00484294,-0.0119677,-0.0157990
1829.00,999.000,0.369518,-0.0285987,11.6457,0.0168008,0.0172388,0.0195358,0.0228272
1830.00,999.000,0.151585,-0.0303736,12.0166,0.0241639,0.0243626,0.0375967,0.0449495
1831.00,999.000,-0.242712,-0.0317203,12.3920,0.0205540,0.0209043,0.0286798,0.0339912
1832.00,999.000,-0.350690,-0.0305939,12.7726,0.00899822,0.00977229,0.000307173,-0.000803963
1833.00,999.000,-0.0619758,-0.0302696,13.1596,0.00172430,0.00275896,-0.0175368,-0.0226691
1834.00,999.000,-0.215300,-0.0299319,13.5520,-0.00249318,-0.00131320,-0.0278835,-0.0353293
1835.00,999.000,-0.819113,-0.0295765,13.9507,-0.0188365,-0.0170942,-0.0678922,-0.0843339
1836.00,999.000,-0.735064,-0.0308003,14.3587,-0.0419957,-0.0394735,-0.124654,-0.153834
1837.00,999.000,-0.124807,-0.0316002,14.7720,-0.0510158,-0.0482341,-0.146930,-0.181018
1838.00,999.000,0.249179,-0.0311779,15.1917,-0.0426663,-0.0402406,-0.126712,-0.156101
1839.00,999.000,0.363501,-0.0311298,15.6178,-0.0271361,-0.0253061,-0.0888720,-0.109605
1840.00,999.000,0.343505,-0.0314465,16.0511,-0.0117691,-0.0105100,-0.0514072,-0.0636046
1841.00,999.000,0.319340,-0.0317322,16.4909,0.00115437,0.00194642,-0.0199127,-0.0249555
1842.00,999.000,0.319973,-0.0319822,16.9379,0.0122504,0.0126548,0.00711952,0.00819569
1843.00,999.000,0.293452,-0.0322037,17.3913,0.0216839,0.0217720,0.0300941,0.0363490
1844.00,999.000,0.288578,-0.0323970,17.8520,0.0295492,0.0293870,0.0492416,0.0597909
1845.00,999.000,0.338834,-0.0337124,18.3221,0.0373075,0.0369082,0.0680920,0.0828514
1846.00,999.000,0.391591,-0.0342453,18.7975,0.0459325,0.0452753,0.0890205,0.108442
1847.00,999.000,0.429859,-0.0343764,19.2812,0.0551193,0.0541950,0.111336,0.135713
1848.00,999.000,0.458917,-0.0348794,19.7713,0.0644118,0.0632277,0.133926,0.163301
1849.00,999.000,0.444998,-0.0353696,20.2697,0.0729343,0.0715283,0.154631,0.188558
1850.00,999.000,0.405396,-0.0368631,20.7775,0.0796400,0.0780853,0.170850,0.208298
1851.00,999.000,0.398625,-0.0366539,21.2783,0.0848449,0.0832018,0.183386,0.223512
1852.00,999.000,0.400521,-0.0424842,21.8339,0.0894430,0.0877387,0.194252,0.236667
1853.00,999.000,0.393475,-0.0493044,22.3902,0.0935562,0.0918127,0.203480,0.247805
1854.00,999.000,0.384141,-0.0518262,22.9551,0.0970247,0.0952691,0.210863,0.256674
1855.00,999.000,0.242826,-0.0542671,23.5197,0.0976515,0.0959866,0.211231,0.256939
1856.00,999.000,-0.211073,-0.0557316,24.0947,0.0883524,0.0871243,0.187287,0.227409
1857.00,999.000,-0.444490,-0.0576582,24.6759,0.0686972,0.0682546,0.137984,0.166820
1858.00,999.000,-0.0968363,-0.0582140,25.2631,0.0531590,0.0533345,0.0987644,0.118636
1859.00,999.000,0.262109,-0.0600583,25.8604,0.0511266,0.0514308,0.0926172,0.111022
1860.00,-0.000750003,0.390709,-0.0683501,26.4704,0.0575163,0.0576532,0.106803,0.128334
1861.00,-0.100750,0.357790,-0.0810411,27.0936,0.0649640,0.0649045,0.122901,0.147976
1862.00,-0.140750,0.258114,-0.0783285,27.6643,0.0694653,0.0693207,0.131635,0.158579
1863.00,0.0192500,0.263904,-0.0717702,28.2420,0.0718326,0.0716825,0.135789,0.163562
1864.00,-0.130750,0.336234,-0.0736304,28.8282,0.0752021,0.0750142,0.142780,0.172017
1865.00,0.0692500,0.370764,-0.0769644,29.4220,0.0800225,0.0797502,0.153262,0.184746
1866.00,0.0892500,0.375045,-0.0846243,30.0189,0.0850492,0.0846909,0.163963,0.197734
1867.00,0.0192500,0.379540,-0.0927502,30.6225,0.0898002,0.0893712,0.173541,0.209336
1868.00,0.139250,0.404765,-0.0951191,31.2297,0.0946108,0.0941145,0.183081,0.220883
1869.00,0.109250,0.440705,-0.0930339,31.8425,0.0999128,0.0993377,0.194077,0.234207
1870.00,0.129250,0.469869,-0.0923776,32.4591,0.105692,0.105028,0.206591,0.249382
1871.00,0.0892500,0.468819,-0.101656,33.1028,0.111376,0.110632,0.218721,0.264075
1872.00,0.0792500,0.422773,-0.124667,33.8431,0.115921,0.115144,0.226968,0.273999
1873.00,0.0792500,0.369789,-0.144051,34.6044,0.118675,0.117932,0.229444,0.276843
1874.00,-0.0507500,0.353735,-0.147733,35.3622,0.120177,0.119515,0.228403,0.275376
1875.00,0.00925000,0.332461,-0.147777,36.1406,0.120931,0.120377,0.225918,0.272140
1876.00,-0.0107500,0.288309,-0.147081,36.9285,0.120519,0.120114,0.221095,0.266042
1877.00,0.329250,0.292982,-0.142556,37.7256,0.119463,0.119229,0.215340,0.258807
1878.00,0.369250,0.334209,-0.140247,38.5306,0.119242,0.119148,0.212264,0.254862
1879.00,0.149250,0.368246,-0.143939,39.3560,0.120318,0.120318,0.212597,0.255097
1880.00,0.139250,0.399955,-0.156129,40.2132,0.122510,0.122567,0.215279,0.258212
1881.00,0.149250,0.429205,-0.164782,41.1051,0.125656,0.125737,0.219754,0.263523
1882.00,0.169250,0.339820,-0.163024,41.9658,0.127518,0.127672,0.221179,0.265092
1883.00,0.0692500,-0.563533,-0.163261,42.8463,0.112664,0.113475,0.182105,0.217025
1884.00,-0.0407500,-1.30178,-0.164962,43.7334,0.0721945,0.0745361,0.0805316,0.0923955
1885.00,-0.0607500,-0.718939,-0.162722,44.6256,0.0336531,0.0374083,-0.0160919,-0.0260745
1886.00,-0.0207500,-0.235809,-0.161224,45.5238,0.0171035,0.0214595,-0.0585543,-0.0780761
1887.00,-0.0507500,-0.117215,-0.163560,46.4350,0.0124114,0.0169352,-0.0718527,-0.0942957
1888.00,0.0892500,-0.0165989,-0.172423,47.3767,0.0119804,0.0165180,-0.0750007,-0.0980631
1889.00,0.199250,-0.0845096,-0.176324,48.3169,0.0122473,0.0167737,-0.0767464,-0.100109
1890.00,-0.0707500,-0.123486,-0.178559,49.2846,0.0107579,0.0153348,-0.0827920,-0.107424
1891.00,0.0392500,-0.0281683,-0.185279,50.2669,0.0104457,0.0150301,-0.0860759,-0.111349
1892.00,-0.0607500,0.171455,-0.189980,51.2641,0.0151672,0.0195836,-0.0772433,-0.100422
1893.00,-0.120750,0.340367,-0.193352,52.2585,0.0255577,0.0296144,-0.0545716,-0.0725416
1894.00,-0.0307500,0.458547,-0.196997,53.2819,0.0396232,0.0432050,-0.0228835,-0.0336319
1895.00,0.0192500,0.434966,-0.202331,54.3323,0.0537711,0.0568921,0.00895278,0.00543024
1896.00,0.209250,0.262909,-0.205144,55.3976,0.0631604,0.0660033,0.0291302,0.0301740
1897.00,0.169250,0.163166,-0.205776,56.4871,0.0670169,0.0697857,0.0359399,0.0385157
1898.00,-0.0507500,0.258699,-0.207201,57.6031,0.0703956,0.0731114,0.0417838,0.0456677
1899.00,0.109250,0.367990,-0.210305,58.7623,0.0768465,0.0794062,0.0552278,0.0621289
1900.00,0.209250,0.414758,-0.213752,59.9495,0.0852337,0.0875775,0.0734060,0.0843802
1901.00,0.0892500,0.398490,-0.220041,61.2045,0.0932807,0.0954304,0.0906218,0.105436
1902.00,-0.0307500,-0.0416702,-0.226934,62.4735,0.0929583,0.0952147,0.0870958,0.101054
1903.00,-0.120750,-0.403369,-0.234030,63.8171,0.0794621,0.0822833,0.0510495,0.0568193
1904.00,-0.140750,-0.0817013,-0.241156,65.1894,0.0669289,0.0702646,0.0170830,0.0151665
1905.00,0.0292500,0.285079,-0.247118,66.6222,0.0673540,0.0707375,0.0146332,0.0121718
1906.00,0.0592500,0.389716,-0.255172,68.1258,0.0756919,0.0788480,0.0313552,0.0326763
1907.00,-0.0907500,0.369500,-0.263153,69.7135,0.0846431,0.0875605,0.0493352,0.0547072
1908.00,-0.160750,0.386643,-0.263656,71.2749,0.0926224,0.0953455,0.0650293,0.0739203
1909.00,-0.190750,0.452580,-0.261517,72.8773,0.101087,0.103609,0.0824062,0.0951815
1910.00,-0.170750,0.474067,-0.264995,74.5183,0.110082,0.112393,0.101399,0.118407
1911.00,-0.190750,0.475024,-0.264612,76.1332,0.118481,0.120613,0.119150,0.140095
1912.00,-0.100750,0.237872,-0.260444,77.7600,0.121988,0.124122,0.125431,0.147707
1913.00,-0.0807500,0.142892,-0.259409,79.4260,0.119549,0.121894,0.117620,0.138044
1914.00,0.0392500,0.387926,-0.255601,80.9908,0.119846,0.122304,0.116896,0.137074
1915.00,0.159250,0.544847,-0.250078,82.5345,0.126725,0.129068,0.132818,0.156507
1916.00,-0.0507500,0.619466,-0.251064,84.1437,0.136660,0.138789,0.156511,0.185449
1917.00,-0.130750,0.655080,-0.254376,85.8099,0.147368,0.149267,0.182000,0.216571
1918.00,0.00925000,0.662550,-0.255447,87.4602,0.157646,0.159344,0.206356,0.246282
1919.00,0.00925000,0.640626,-0.250501,88.9858,0.166520,0.168076,0.227535,0.272077
1920.00,0.0692500,0.538608,-0.249196,90.6391,0.172305,0.173839,0.241484,0.288993
1921.00,0.149250,0.513908,-0.247666,92.1995,0.175330,0.176942,0.248824,0.297797
1922.00,0.0292500,0.599174,-0.244542,93.7925,0.179000,0.180672,0.257949,0.308783
