Output of simple 2-box model under RCP45 radiative forcing,
Low  response ECS=1.5; TCR=1.0K; Aerosol scaled by:     0.500000,
Low AR4 vals  ECS=2.0; TCR=1.0K; Aerosol scaled by:     0.500000,
High response ECS=4.5; TCR=2.5K; Aerosol scaled by:      1.50000,
High AR4 vals ECS=4.5; TCR=3.0K; Aerosol scaled by:      1.50000,
Year,Observations,Total forcing,Aerosol forcing,Cumulative CO2,Low response,Low - AR4,High response,High - AR4
1840.00,999.000,0.343505,-0.0314465,16.0511,-0.0117691,-0.0105100,-0.0514072,-0.0636046
1841.00,999.000,0.319340,-0.0317322,16.4909,0.00115437,0.00194642,-0.0199127,-0.0249555
1842.00,999.000,0.319973,-0.0319822,16.9379,0.0122504,0.0126548,0.00711952,0.00819569
1843.00,999.000,0.293452,-0.0322037,17.3913,0.0216839,0.0217720,0.0300941,0.0363490
1844.00,999.000,0.288578,-0.0323970,17.8520,0.0295492,0.0293870,0.0492416,0.0597909
1845.00,999.000,0.338834,-0.0337124,18.3221,0.0373075,0.0369082,0.0680920,0.0828514
1846.00,999.000,0.391591,-0.0342453,18.7975,0.0459325,0.0452753,0.0890205,0.108442
1847.00,999.000,0.429859,-0.0343764,19.2812,0.0551193,0.0541950,0.111336,0.135713
1848.00,999.000,0.458917,-0.0348794,19.7713,0.0644118,0.0632277,0.133926,0.163301
1849.00,999.000,0.444998,-0.0353696,20.2697,0.0729343,0.0715283,0.154631,0.188558
1850.00,999.000,0.405396,-0.0368631,20.7775,0.0796400,0.0780853,0.170850,0.208298
1851.00,999.000,0.398625,-0.0366539,21.2783,0.0848449,0.0832018,0.183386,0.223512
1852.00,999.000,0.400521,-0.0424842,21.8339,0.0894430,0.0877387,0.194252,0.236667
1853.00,999.000,0.393475,-0.0493044,22.3902,0.0935562,0.0918127,0.203480,0.247805
1854.00,999.000,0.384141,-0.0518262,22.9551,0.0970247,0.0952691,0.210863,0.256674
1855.00,999.000,0.242826,-0.0542671,23.5197,0.0976515,0.0959866,0.211231,0.256939
1856.00,999.000,-0.211073,-0.0557316,24.0947,0.0883524,0.0871243,0.187287,0.227409
1857.00,999.000,-0.444490,-0.0576582,24.6759,0.0686972,0.0682546,0.137984,0.166820
1858.00,999.000,-0.0968363,-0.0582140,25.2631,0.0531590,0.0533345,0.0987644,0.118636
1859.00,999.000,0.262109,-0.0600583,25.8604,0.0511266,0.0514308,0.0926172,0.111022
1860.00,-0.000750003,0.390709,-0.0683501,26.4704,0.0575163,0.0576532,0.106803,0.128334
1861.00,-0.100750,0.357790,-0.0810411,27.0936,0.0649640,0.0649045,0.122901,0.147976
1862.00,-0.140750,0.258114,-0.0783285,27.6643,0.0694653,0.0693207,0.131635,0.158579
1863.00,0.0192500,0.263904,-0.0717702,28.2420,0.0718326,0.0716825,0.135789,0.163562
1864.00,-0.130750,0.336234,-0.0736304,28.8282,0.0752021,0.0750142,0.142780,0.172017
1865.00,0.0692500,0.370764,-0.0769644,29.4220,0.0800225,0.0797502,0.153262,0.184746
1866.00,0.0892500,0.375045,-0.0846243,30.0189,0.0850492,0.0846909,0.163963,0.197734
1867.00,0.0192500,0.379540,-0.0927502,30.6225,0.0898002,0.0893712,0.173541,0.209336
1868.00,0.139250,0.404765,-0.0951191,31.2297,0.0946108,0.0941145,0.183081,0.220883
1869.00,0.109250,0.440705,-0.0930339,31.8425,0.0999128,0.0993377,0.194077,0.234207
1870.00,0.129250,0.469869,-0.0923776,32.4591,0.105692,0.105028,0.206591,0.249382
1871.00,0.0892500,0.468819,-0.101656,33.1028,0.111376,0.110632,0.218721,0.264075
1872.00,0.0792500,0.422773,-0.124667,33.8431,0.115921,0.115144,0.226968,0.273999
1873.00,0.0792500,0.369789,-0.144051,34.6044,0.118675,0.117932,0.229444,0.276843
1874.00,-0.0507500,0.353735,-0.147733,35.3622,0.120177,0.119515,0.228403,0.275376
1875.00,0.00925000,0.332461,-0.147777,36.1406,0.120931,0.120377,0.225918,0.272140
1876.00,-0.0107500,0.288309,-0.147081,36.9285,0.120519,0.120114,0.221095,0.266042
1877.00,0.329250,0.292982,-0.142556,37.7256,0.119463,0.119229,0.215340,0.258807
1878.00,0.369250,0.334209,-0.140247,38.5306,0.119242,0.119148,0.212264,0.254862
1879.00,0.149250,0.368246,-0.143939,39.3560,0.120318,0.120318,0.212597,0.255097
1880.00,0.139250,0.399955,-0.156129,40.2132,0.122510,0.122567,0.215279,0.258212
