Year,Observations,Total forcing,Aerosol forcing,Cumulative CO2,Low response,Low - AR4,High response,High - AR4,Year,Observations,Total forcing,Aerosol forcing,Cumulative CO2,Low response,Low - AR4,High response,High - AR4,Year,Observations,Total forcing,Aerosol forcing,Cumulative CO2,Low response,Low - AR4,High response,High - AR4,Year,Observations,Total forcing,Aerosol forcing,Cumulative CO2,Low response,Low - AR4,High response,High - AR4
1772,999,0.299857,-0.00632004,0.175472,0.0923559,0.0750159,0.0291515,0.0761473,1772,999,0.299857,-0.00632004,0.175472,0.092096,0.074748,0.0291846,0.0761956,1772,999,0.299857,-0.00632004,0.175472,0.0906468,0.0732528,0.0288005,0.0756456,1772,999,0.299857,-0.00632004,0.175472,0.0928217,0.0754983,0.0294167,0.0765254
1773,999,0.290756,-0.00768095,0.222179,0.0978615,0.0803789,0.0418913,0.0915145,1773,999,0.290756,-0.00768095,0.222179,0.0976019,0.0801111,0.0419243,0.0915626,1773,999,0.290756,-0.00768095,0.222179,0.0961539,0.0786172,0.0415419,0.091015,1773,999,0.290756,-0.00768095,0.222179,0.0983269,0.0808609,0.0421554,0.0918909
1774,999,0.2781,-0.00899457,0.274223,0.102435,0.0848482,0.0522664,0.103954,1774,999,0.2781,-0.00899457,0.274223,0.102175,0.0845807,0.0522993,0.104002,1774,999,0.2781,-0.00899457,0.274223,0.100729,0.0830881,0.0519187,0.103457,1774,999,0.2781,-0.00899457,0.274223,0.1029,0.0853297,0.0525293,0.104329
1775,999,0.268839,-0.0102608,0.331606,0.106175,0.0885196,0.0605371,0.113792,1775,999,0.268839,-0.0102608,0.331606,0.105916,0.0882524,0.0605698,0.113839,1775,999,0.268839,-0.0102608,0.331606,0.104471,0.0867613,0.0601911,0.113297,1775,999,0.268839,-0.0102608,0.331606,0.10664,0.0890007,0.0607986,0.114164
1776,999,0.276856,-0.0114799,0.394328,0.10952,0.0918125,0.0677824,0.122353,1776,999,0.276856,-0.0114799,0.394328,0.109261,0.0915455,0.0678149,0.1224,1776,999,0.276856,-0.0114799,0.394328,0.107817,0.090056,0.0674383,0.121861,1776,999,0.276856,-0.0114799,0.394328,0.109983,0.092293,0.0680424,0.122724
1777,999,0.305761,-0.0126524,0.462387,0.113145,0.0953804,0.0756735,0.131691,1777,999,0.305761,-0.0126524,0.462387,0.112886,0.0951138,0.0757058,0.131738,1777,999,0.305761,-0.0126524,0.462387,0.111444,0.0936258,0.0753314,0.131202,1777,999,0.305761,-0.0126524,0.462387,0.113608,0.0958604,0.075932,0.132059
1778,999,0.337875,-0.0137792,0.535785,0.117419,0.0995793,0.0851239,0.142926,1778,999,0.337875,-0.0137792,0.535785,0.117161,0.099313,0.085156,0.142973,1778,999,0.337875,-0.0137792,0.535785,0.115721,0.0978267,0.0847839,0.14244,1778,999,0.337875,-0.0137792,0.535785,0.117882,0.100059,0.0853809,0.143292
1779,999,0.347581,-0.0148612,0.614521,0.121951,0.104031,0.095184,0.154895,1779,999,0.347581,-0.0148612,0.614521,0.121693,0.103765,0.0952159,0.154942,1779,999,0.347581,-0.0148612,0.614521,0.120254,0.102281,0.0948461,0.154412,1779,999,0.347581,-0.0148612,0.614521,0.122413,0.10451,0.0954394,0.155259
1780,999,0.341674,-0.0159002,0.698596,0.126077,0.108097,0.104243,0.165626,1780,999,0.341674,-0.0159002,0.698596,0.125819,0.107832,0.104275,0.165672,1780,999,0.341674,-0.0159002,0.698596,0.124383,0.106349,0.103907,0.165146,1780,999,0.341674,-0.0159002,0.698596,0.126538,0.108576,0.104497,0.165987
1781,999,0.333722,-0.0173357,0.789008,0.129556,0.111543,0.111683,0.174357,1781,999,0.333722,-0.0173357,0.789008,0.129298,0.111278,0.111715,0.174403,1781,999,0.333722,-0.0173357,0.789008,0.127864,0.109797,0.11135,0.17388,1781,999,0.333722,-0.0173357,0.789008,0.130016,0.112021,0.111936,0.174716
1782,999,0.29102,-0.0187348,0.884759,0.131852,0.113852,0.116176,0.179458,1782,999,0.29102,-0.0187348,0.884759,0.131595,0.113587,0.116208,0.179503,1782,999,0.29102,-0.0187348,0.884759,0.130163,0.112108,0.115845,0.178985,1782,999,0.29102,-0.0187348,0.884759,0.132312,0.114329,0.116427,0.179814
1783,999,0.175605,-0.0196591,0.985849,0.131305,0.113418,0.113692,0.176,1783,999,0.175605,-0.0196591,0.985849,0.131048,0.113153,0.113723,0.176045,1783,999,0.175605,-0.0196591,0.985849,0.129617,0.111676,0.113363,0.175531,1783,999,0.175605,-0.0196591,0.985849,0.131764,0.113894,0.11394,0.176354
1784,999,0.0902692,-0.0205406,1.09228,0.127513,0.109852,0.103283,0.162838,1784,999,0.0902692,-0.0205406,1.09228,0.127257,0.109588,0.103314,0.162883,1784,999,0.0902692,-0.0205406,1.09228,0.125828,0.108112,0.102957,0.162372,1784,999,0.0902692,-0.0205406,1.09228,0.127972,0.110328,0.10353,0.163189
1785,999,0.162453,-0.0213771,1.20404,0.123957,0.106509,0.093466,0.150415,1785,999,0.162453,-0.0213771,1.20404,0.123701,0.106244,0.0934967,0.150459,1785,999,0.162453,-0.0213771,1.20404,0.122275,0.104771,0.0931418,0.149952,1785,999,0.162453,-0.0213771,1.20404,0.124415,0.106984,0.0937111,0.150763
1786,999,0.289562,-0.0221664,1.32115,0.124142,0.106771,0.0928222,0.149249,1786,999,0.289562,-0.0221664,1.32115,0.123886,0.106507,0.0928526,0.149293,1786,999,0.289562,-0.0221664,1.32115,0.122461,0.105035,0.0925002,0.148789,1786,999,0.289562,-0.0221664,1.32115,0.124599,0.107245,0.0930656,0.149595
1787,999,0.352999,-0.0229061,1.44359,0.127502,0.110098,0.0999823,0.157655,1787,999,0.352999,-0.0229061,1.44359,0.127247,0.109835,0.100012,0.157699,1787,999,0.352999,-0.0229061,1.44359,0.125824,0.108365,0.0996624,0.157198,1787,999,0.352999,-0.0229061,1.44359,0.127959,0.110572,0.100224,0.157999
1788,999,0.361769,-0.0235941,1.57137,0.131716,0.114254,0.109269,0.168668,1788,999,0.361769,-0.0235941,1.57137,0.131462,0.113991,0.109299,0.168711,1788,999,0.361769,-0.0235941,1.57137,0.13004,0.112523,0.108952,0.168214,1788,999,0.361769,-0.0235941,1.57137,0.132173,0.114727,0.10951,0.169009
1789,999,0.251054,-0.024228,1.70449,0.133792,0.11635,0.113365,0.173317,1789,999,0.251054,-0.024228,1.70449,0.133537,0.116087,0.113395,0.17336,1789,999,0.251054,-0.024228,1.70449,0.132118,0.114621,0.113049,0.172867,1789,999,0.251054,-0.024228,1.70449,0.134248,0.116822,0.113603,0.173656
1790,999,0.0888822,-0.0248062,1.84295,0.131124,0.113869,0.10589,0.16379,1790,999,0.0888822,-0.0248062,1.84295,0.130869,0.113606,0.105919,0.163834,1790,999,0.0888822,-0.0248062,1.84295,0.129451,0.112142,0.105576,0.163343,1790,999,0.0888822,-0.0248062,1.84295,0.131579,0.114341,0.106127,0.164128
1791,999,0.10802,-0.0257757,1.98774,0.126403,0.109405,0.0933997,0.148127,1791,999,0.10802,-0.0257757,1.98774,0.126149,0.109142,0.0934291,0.14817,1791,999,0.10802,-0.0257757,1.98774,0.124733,0.107679,0.093088,0.147683,1791,999,0.10802,-0.0257757,1.98774,0.126858,0.109876,0.0936353,0.148462
1792,999,0.232799,-0.026692,2.13788,0.124636,0.107784,0.0881162,0.141306,1792,999,0.232799,-0.026692,2.13788,0.124383,0.107522,0.0881454,0.141349,1792,999,0.232799,-0.026692,2.13788,0.122968,0.106061,0.0878064,0.140864,1792,999,0.232799,-0.026692,2.13788,0.12509,0.108255,0.0883502,0.141639
1793,999,0.294575,-0.0271103,2.29335,0.126194,0.109371,0.090993,0.144497,1793,999,0.294575,-0.0271103,2.29335,0.125941,0.109109,0.0910221,0.144539,1793,999,0.294575,-0.0271103,2.29335,0.124528,0.107649,0.0906853,0.144058,1793,999,0.294575,-0.0271103,2.29335,0.126648,0.109841,0.0912257,0.144828
1794,999,0.291738,-0.0274789,2.45416,0.128576,0.111754,0.0959501,0.150247,1794,999,0.291738,-0.0274789,2.45416,0.128323,0.111493,0.095979,0.150289,1794,999,0.291738,-0.0274789,2.45416,0.126911,0.110034,0.0956442,0.149811,1794,999,0.291738,-0.0274789,2.45416,0.129029,0.112224,0.0961814,0.150576
1795,999,0.256846,-0.0277995,2.62031,0.130082,0.113295,0.0988263,0.153454,1795,999,0.256846,-0.0277995,2.62031,0.129829,0.113033,0.098855,0.153496,1795,999,0.256846,-0.0277995,2.62031,0.128419,0.111577,0.0985221,0.153021,1795,999,0.256846,-0.0277995,2.62031,0.130534,0.113764,0.0990562,0.153781
1796,999,0.245053,-0.0280741,2.79179,0.130659,0.11394,0.099491,0.153961,1796,999,0.245053,-0.0280741,2.79179,0.130406,0.113679,0.0995196,0.154003,1796,999,0.245053,-0.0280741,2.79179,0.128998,0.112224,0.0991884,0.15353,1796,999,0.245053,-0.0280741,2.79179,0.131111,0.114409,0.0997197,0.154286
1797,999,0.262057,-0.0287504,2.96962,0.131279,0.114628,0.10029,0.154638,1797,999,0.262057,-0.0287504,2.96962,0.131026,0.114367,0.100318,0.15468,1797,999,0.262057,-0.0287504,2.96962,0.129619,0.112913,0.0999889,0.154209,1797,999,0.262057,-0.0287504,2.96962,0.131731,0.115096,0.100517,0.154962
1798,999,0.277467,-0.0293838,3.15278,0.132395,0.115794,0.102304,0.156805,1798,999,0.277467,-0.0293838,3.15278,0.132142,0.115534,0.102332,0.156846,1798,999,0.277467,-0.0293838,3.15278,0.130736,0.114081,0.102005,0.156377,1798,999,0.277467,-0.0293838,3.15278,0.132846,0.116262,0.10253,0.157126
1799,999,0.285635,-0.02953,3.34129,0.133796,0.117238,0.105056,0.159882,1799,999,0.285635,-0.02953,3.34129,0.133544,0.116977,0.105084,0.159923,1799,999,0.285635,-0.02953,3.34129,0.13214,0.115526,0.104758,0.159457,1799,999,0.285635,-0.02953,3.34129,0.134247,0.117705,0.105282,0.160202
1800,999,0.30346,-0.03008,3.53613,0.135491,0.118965,0.108566,0.163893,1800,999,0.30346,-0.03008,3.53613,0.135239,0.118705,0.108594,0.163934,1800,999,0.30346,-0.03008,3.53613,0.133836,0.117255,0.10827,0.16347,1800,999,0.30346,-0.03008,3.53613,0.135942,0.119433,0.10879,0.164212
1801,999,0.325814,-0.0305855,3.73631,0.137688,0.121179,0.113316,0.169424,1801,999,0.325814,-0.0305855,3.73631,0.137436,0.120919,0.113344,0.169464,1801,999,0.325814,-0.0305855,3.73631,0.136034,0.11947,0.113021,0.169003,1801,999,0.325814,-0.0305855,3.73631,0.138138,0.121646,0.11354,0.169741
1802,999,0.322938,-0.0314857,3.94382,0.139991,0.123498,0.118316,0.175253,1802,999,0.322938,-0.0314857,3.94382,0.13974,0.123239,0.118344,0.175294,1802,999,0.322938,-0.0314857,3.94382,0.138338,0.121791,0.118022,0.174834,1802,999,0.322938,-0.0314857,3.94382,0.140441,0.123965,0.118538,0.175569
1803,999,0.308295,-0.0318974,4.15568,0.141773,0.125317,0.122035,0.179509,1803,999,0.308295,-0.0318974,4.15568,0.141522,0.125057,0.122063,0.179549,1803,999,0.308295,-0.0318974,4.15568,0.140122,0.12361,0.121743,0.179092,1803,999,0.308295,-0.0318974,4.15568,0.142222,0.125783,0.122256,0.179823
1804,999,0.306252,-0.0313806,4.37287,0.143085,0.126683,0.124697,0.182482,1804,999,0.306252,-0.0313806,4.37287,0.142834,0.126424,0.124724,0.182522,1804,999,0.306252,-0.0313806,4.37287,0.141435,0.124978,0.124406,0.182067,1804,999,0.306252,-0.0313806,4.37287,0.143534,0.127149,0.124917,0.182795
1805,999,0.305549,-0.0312685,4.5954,0.144204,0.127865,0.127002,0.18504,1805,999,0.305549,-0.0312685,4.5954,0.143953,0.127606,0.127029,0.185079,1805,999,0.305549,-0.0312685,4.5954,0.142555,0.126161,0.126712,0.184626,1805,999,0.305549,-0.0312685,4.5954,0.144652,0.12833,0.127221,0.185351
1806,999,0.296562,-0.0315614,4.82427,0.145048,0.128782,0.128682,0.186839,1806,999,0.296562,-0.0315614,4.82427,0.144797,0.128523,0.128709,0.186878,1806,999,0.296562,-0.0315614,4.82427,0.143399,0.127079,0.128393,0.186427,1806,999,0.296562,-0.0315614,4.82427,0.145496,0.129247,0.128901,0.187149
1807,999,0.287336,-0.0318218,5.05848,0.14551,0.129332,0.129448,0.187519,1807,999,0.287336,-0.0318218,5.05848,0.14526,0.129073,0.129475,0.187559,1807,999,0.287336,-0.0318218,5.05848,0.143863,0.12763,0.12916,0.187108,1807,999,0.287336,-0.0318218,5.05848,0.145958,0.129797,0.129665,0.187829
1808,999,-0.206609,-0.0316127,5.29803,0.137564,0.121766,0.109677,0.163041,1808,999,-0.206609,-0.0316127,5.29803,0.137313,0.121507,0.109704,0.16308,1808,999,-0.206609,-0.0316127,5.29803,0.135917,0.120064,0.10939,0.162631,1808,999,-0.206609,-0.0316127,5.29803,0.138011,0.12223,0.109894,0.163349
1809,999,-1.35012,-0.0313782,5.54291,0.103276,0.0887652,0.0254917,0.0596484,1809,999,-1.35012,-0.0313782,5.54291,0.103025,0.0885067,0.0255188,0.0596877,1809,999,-1.35012,-0.0313782,5.54291,0.10163,0.0870648,0.0252054,0.0592398,1809,999,-1.35012,-0.0313782,5.54291,0.103723,0.0892295,0.0257082,0.0599562
1810,999,-1.75196,-0.0311204,5.79314,0.0471105,0.0346071,-0.112236,-0.109274,1810,999,-1.75196,-0.0311204,5.79314,0.0468602,0.0343486,-0.112209,-0.109235,1810,999,-1.75196,-0.0311204,5.79314,0.0454652,0.0329072,-0.112522,-0.109682,1810,999,-1.75196,-0.0311204,5.79314,0.0475578,0.0350712,-0.11202,-0.108967
1811,999,-0.956129,-0.0312737,6.0497,0.00375433,-0.00725642,-0.218676,-0.239717,1811,999,-0.956129,-0.0312737,6.0497,0.00350408,-0.00751477,-0.218649,-0.239677,1811,999,-0.956129,-0.0312737,6.0497,0.00210953,-0.00895572,-0.218961,-0.240124,1811,999,-0.956129,-0.0312737,6.0497,0.00420153,-0.00679246,-0.21846,-0.23941
1812,999,-0.279183,-0.0313998,6.3116,-0.010281,-0.0208725,-0.253416,-0.282186,1812,999,-0.279183,-0.0313998,6.3116,-0.0105312,-0.0211308,-0.25339,-0.282147,1812,999,-0.279183,-0.0313998,6.3116,-0.0119253,-0.0225713,-0.253701,-0.282593,1812,999,-0.279183,-0.0313998,6.3116,-0.0098339,-0.0204087,-0.253201,-0.28188
1813,999,-0.0779071,-0.0310632,6.57884,-0.00815842,-0.0189101,-0.248592,-0.276126,1813,999,-0.0779071,-0.0310632,6.57884,-0.00840853,-0.0191683,-0.248565,-0.276087,1813,999,-0.0779071,-0.0310632,6.57884,-0.00980234,-0.0206084,-0.248876,-0.276532,1813,999,-0.0779071,-0.0310632,6.57884,-0.00771146,-0.0184464,-0.248377,-0.27582
1814,999,-0.598962,-0.0307014,6.85141,-0.0116063,-0.0223213,-0.25733,-0.28668,1814,999,-0.598962,-0.0307014,6.85141,-0.0118564,-0.0225795,-0.257304,-0.286641,1814,999,-0.598962,-0.0307014,6.85141,-0.0132499,-0.0240193,-0.257614,-0.287085,1814,999,-0.598962,-0.0307014,6.85141,-0.0111594,-0.0218578,-0.257116,-0.286375
1815,999,-2.06194,-0.0307462,7.13033,-0.0476718,-0.0572185,-0.345881,-0.395038,1815,999,-2.06194,-0.0307462,7.13033,-0.0479218,-0.0574766,-0.345854,-0.394999,1815,999,-2.06194,-0.0307462,7.13033,-0.0493152,-0.0589162,-0.346164,-0.395443,1815,999,-2.06194,-0.0307462,7.13033,-0.047225,-0.056755,-0.345666,-0.394732
1816,999,-2.56318,-0.0311961,7.41558,-0.112381,-0.119806,-0.504634,-0.589361,1816,999,-2.56318,-0.0311961,7.41558,-0.112631,-0.120064,-0.504607,-0.589323,1816,999,-2.56318,-0.0311961,7.41558,-0.114024,-0.121503,-0.504917,-0.589766,1816,999,-2.56318,-0.0311961,7.41558,-0.111935,-0.119343,-0.50442,-0.589057
1817,999,-1.39423,-0.0316187,7.70717,-0.158779,-0.164797,-0.618728,-0.728816,1817,999,-1.39423,-0.0316187,7.70717,-0.159029,-0.165055,-0.618702,-0.728777,1817,999,-1.39423,-0.0316187,7.70717,-0.160422,-0.166494,-0.619011,-0.72922,1817,999,-1.39423,-0.0316187,7.70717,-0.158332,-0.164334,-0.618514,-0.728511
1818,999,-0.265648,-0.0315879,8.0041,-0.161816,-0.167993,-0.626779,-0.738202,1818,999,-0.265648,-0.0315879,8.0041,-0.162066,-0.168251,-0.626752,-0.738164,1818,999,-0.265648,-0.0315879,8.0041,-0.163458,-0.16969,-0.627061,-0.738606,1818,999,-0.265648,-0.0315879,8.0041,-0.161369,-0.16753,-0.626565,-0.737898
1819,999,0.185347,-0.031107,8.30637,-0.138277,-0.145542,-0.569729,-0.667787,1819,999,0.185347,-0.031107,8.30637,-0.138527,-0.1458,-0.569703,-0.667748,1819,999,0.185347,-0.031107,8.30637,-0.13992,-0.147238,-0.570011,-0.66819,1819,999,0.185347,-0.031107,8.30637,-0.137831,-0.145079,-0.569516,-0.667483
1820,999,0.311867,-0.0306063,8.61398,-0.107792,-0.116356,-0.495553,-0.576419,1820,999,0.311867,-0.0306063,8.61398,-0.108042,-0.116614,-0.495526,-0.57638,1820,999,0.311867,-0.0306063,8.61398,-0.109434,-0.118052,-0.495835,-0.576822,1820,999,0.311867,-0.0306063,8.61398,-0.107346,-0.115893,-0.49534,-0.576115
1821,999,0.318984,-0.0300866,8.92692,-0.0785132,-0.0882968,-0.4242,-0.488566,1821,999,0.318984,-0.0300866,8.92692,-0.0787631,-0.0885547,-0.424173,-0.488528,1821,999,0.318984,-0.0300866,8.92692,-0.0801554,-0.0899928,-0.424482,-0.48897,1821,999,0.318984,-0.0300866,8.92692,-0.0780668,-0.0878338,-0.423986,-0.488263
1822,999,0.321522,-0.02997,9.2462,-0.0523593,-0.0632174,-0.360402,-0.410034,1822,999,0.321522,-0.02997,9.2462,-0.0526091,-0.0634753,-0.360376,-0.409995,1822,999,0.321522,-0.02997,9.2462,-0.0540015,-0.0649135,-0.360685,-0.410437,1822,999,0.321522,-0.02997,9.2462,-0.0519128,-0.0627544,-0.360189,-0.40973
1823,999,0.325542,-0.030254,9.57183,-0.0290194,-0.0408218,-0.303465,-0.339972,1823,999,0.325542,-0.030254,9.57183,-0.0292692,-0.0410797,-0.303438,-0.339933,1823,999,0.325542,-0.030254,9.57183,-0.0306617,-0.0425178,-0.303747,-0.340376,1823,999,0.325542,-0.030254,9.57183,-0.0285729,-0.0403588,-0.303252,-0.339668
1824,999,0.333737,-0.0300959,9.90278,-0.0080841,-0.0207183,-0.252385,-0.277146,1824,999,0.333737,-0.0300959,9.90278,-0.00833398,-0.0209762,-0.252358,-0.277107,1824,999,0.333737,-0.0300959,9.90278,-0.00972643,-0.0224143,-0.252667,-0.277549,1824,999,0.333737,-0.0300959,9.90278,-0.00763762,-0.0202553,-0.252172,-0.276842
1825,999,0.347678,-0.0299164,10.2401,0.0108748,-0.00249663,-0.206086,-0.220223,1825,999,0.347678,-0.0299164,10.2401,0.0106249,-0.00275448,-0.206059,-0.220184,1825,999,0.347678,-0.0299164,10.2401,0.00923239,-0.00419256,-0.206368,-0.220626,1825,999,0.347678,-0.0299164,10.2401,0.0113213,-0.00203365,-0.205873,-0.219919
1826,999,0.366029,-0.0297187,10.5827,0.0282477,0.0142177,-0.163615,-0.168031,1826,999,0.366029,-0.0297187,10.5827,0.0279978,0.0139598,-0.163589,-0.167992,1826,999,0.366029,-0.0297187,10.5827,0.0266052,0.0125217,-0.163898,-0.168435,1826,999,0.366029,-0.0297187,10.5827,0.0286943,0.0146806,-0.163402,-0.167727
1827,999,0.385377,-0.0295004,10.9317,0.0443025,0.029681,-0.12432,-0.119766,1827,999,0.385377,-0.0295004,10.9317,0.0440526,0.0294231,-0.124293,-0.119727,1827,999,0.385377,-0.0295004,10.9317,0.0426599,0.027985,-0.124602,-0.12017,1827,999,0.385377,-0.0295004,10.9317,0.0447491,0.0301439,-0.124107,-0.119462
1828,999,0.3956,-0.029265,11.286,0.0590519,0.0439039,-0.0881705,-0.0753895,1828,999,0.3956,-0.029265,11.286,0.0588019,0.043646,-0.0881438,-0.0753506,1828,999,0.3956,-0.029265,11.286,0.0574091,0.0422078,-0.0884529,-0.0757936,1828,999,0.3956,-0.029265,11.286,0.0594985,0.0443669,-0.087957,-0.0750851
1829,999,0.369518,-0.0285987,11.6457,0.0718809,0.0562913,-0.0566468,-0.036706,1829,999,0.369518,-0.0285987,11.6457,0.0716309,0.0560334,-0.0566201,-0.0366671,1829,999,0.369518,-0.0285987,11.6457,0.0702379,0.0545951,-0.0569294,-0.0371105,1829,999,0.369518,-0.0285987,11.6457,0.0723276,0.0567544,-0.0564331,-0.0364013
1830,999,0.151585,-0.0303736,12.0166,0.07924,0.0634148,-0.0385822,-0.0145653,1830,999,0.151585,-0.0303736,12.0166,0.07899,0.0631569,-0.0385555,-0.0145264,1830,999,0.151585,-0.0303736,12.0166,0.0775969,0.0617186,-0.0388649,-0.0149699,1830,999,0.151585,-0.0303736,12.0166,0.0796867,0.0638779,-0.0383685,-0.0142605
1831,999,-0.242712,-0.0317203,12.392,0.0756459,0.0599754,-0.0475346,-0.025596,1831,999,-0.242712,-0.0317203,12.392,0.0753959,0.0597175,-0.047508,-0.0255571,1831,999,-0.242712,-0.0317203,12.392,0.0740031,0.0582795,-0.0478169,-0.0260001,1831,999,-0.242712,-0.0317203,12.392,0.0760925,0.0604384,-0.0473212,-0.0252915
1832,999,-0.35069,-0.0305939,12.7726,0.0641057,0.0488621,-0.0759426,-0.0604628,1832,999,-0.35069,-0.0305939,12.7726,0.0638558,0.0486043,-0.0759159,-0.060424,1832,999,-0.35069,-0.0305939,12.7726,0.0624632,0.0471666,-0.0762245,-0.0608665,1832,999,-0.35069,-0.0305939,12.7726,0.0645522,0.0493249,-0.0757295,-0.0601587
1833,999,-0.0619758,-0.0302696,13.1596,0.0568371,0.0418575,-0.0938014,-0.0823523,1833,999,-0.0619758,-0.0302696,13.1596,0.0565872,0.0415997,-0.0937748,-0.0823135,1833,999,-0.0619758,-0.0302696,13.1596,0.0551947,0.0401621,-0.0940832,-0.0827558,1833,999,-0.0619758,-0.0302696,13.1596,0.0572836,0.0423203,-0.0935884,-0.0820483
1834,999,-0.2153,-0.0299319,13.552,0.0526206,0.0377898,-0.104154,-0.0950169,1834,999,-0.2153,-0.0299319,13.552,0.0523707,0.037532,-0.104128,-0.094978,1834,999,-0.2153,-0.0299319,13.552,0.0509782,0.0360946,-0.104436,-0.0954204,1834,999,-0.2153,-0.0299319,13.552,0.0530671,0.0382526,-0.103941,-0.0947129
